Subject,Alpha,Final_Heading,Final_Stdev,Trial_Number
1,40,0.92677,4.6953,1
1,60,-5.6178,3.9259,2
1,70,30.1586,6.1459,3
1,50,-15.7064,6.544,4
1,90,28.1299,25.0604,5
1,0,2.3943,1.7117,6
1,60,12.3847,5.3106,7
1,70,18.044,2.7905,8
1,0,2.6429,1.5642,9
1,80,29.3005,5.3178,10
1,30,1.1772,2.3139,11
1,50,12.3132,1.4093,12
1,80,29.8203,21.7839,13
1,120,-52.924,3.9284,14
1,30,-4.7469,2.6404,15
1,0,1.3548,2.9098,16
1,120,-59.0159,3.4011,17
1,0,-1.3474,0.86395,18
1,50,-12.7549,3.3382,19
1,30,-1.2751,1.3785,20
1,120,-47.7948,2.3548,21
1,20,2.6248,1.9595,22
1,80,35.1657,6.1596,23
1,90,32.1048,5.4219,24
1,40,-9.9842,2.1545,25
1,50,-17.238,3.4206,26
1,120,-59.6287,2.57,27
1,90,-36.0431,3.0957,28
1,50,-22.2915,1.2651,29
1,70,-29.6706,6.4075,30
1,50,-5.8817,2.6414,31
1,0,0.96712,0.22097,32
1,30,4.9148,2.5424,33
1,120,61.8692,13.4222,34
1,30,8.5229,1.2666,35
1,80,25.3422,2.6978,36
1,20,2.9607,1.3326,37
1,70,27.5173,2.551,38
1,60,17.4801,3.0597,39
1,60,-13.5904,10.4356,40
1,20,1.8272,1.467,41
1,20,5.1161,1.2179,42
1,30,8.6255,2.8555,43
1,80,29.2959,1.8684,44
1,70,13.8661,1.546,45
1,90,-11.3405,17.797,46
1,60,24.655,4.1879,47
1,90,47.1279,7.5266,48
1,30,8.5417,1.1557,49
1,120,59.3339,6.5471,50
1,60,33.9135,5.8029,51
1,90,-48.792,5.7075,52
1,70,-29.9081,2.5275,53
1,40,-1.4032,0.98017,54
1,20,-2.286,1.7105,55
1,90,39.3377,6.1826,56
1,120,-54.4357,4.4322,57
1,80,33.2423,4.7092,58
1,40,-4.1279,2.6997,59
1,20,0.53003,1.648,60
1,120,53.6092,9.6773,61
1,20,-1.3003,3.0886,62
1,40,-4.2609,1.5552,63
1,90,32.0956,1.6051,64
1,40,14.2842,2.0369,65
1,40,-4.9055,4.7256,66
1,50,-7.1003,1.0494,67
1,80,40.7273,7.0166,68
1,50,-2.6084,4.2185,69
1,0,-0.58573,2.2329,70
1,120,53.3095,6.4797,71
1,60,1.0609,6.6095,72
1,70,26.4853,2.5507,73
1,50,15.2027,1.8774,74
1,120,-55.4786,2.3019,75
1,40,-1.243,1.7818,76
1,20,1.1646,1.1556,77
1,70,25.3985,4.7354,78
1,0,-0.42145,1.3745,79
1,70,-29.3364,8.8725,80
1,0,-0.71232,0.39578,81
1,80,24.2724,3.1164,82
1,30,8.1769,1.7455,83
1,60,-26.251,3.3051,84
1,20,-1.9329,0.52887,85
1,60,-19.419,2.7872,86
1,90,-37.7873,6.4686,87
1,90,44.0207,6.2905,88
1,70,-28.4135,4.4623,89
1,40,-0.021473,2.0523,90
1,50,3.7825,2.2442,91
1,0,-1.6625,2.5779,92
1,60,11.3885,2.1464,93
1,80,-40.6809,5.4022,94
1,20,-3.5889,1.0428,95
1,30,-3.916,3.7266,96
1,0,1.6785,1.7864,97
1,80,38.7682,5.4306,98
1,40,1.6027,1.3586,99
1,30,5.6201,1.5612,100
2,0,-0.1088,1.5204,1
2,50,-28.1947,3.8547,2
2,90,-34.547,17.7232,3
2,0,2.3407,1.2053,4
2,60,-34.9408,4.9531,5
2,70,-39.0669,3.8344,6
2,20,-2.1382,3.7156,7
2,20,8.9304,2.8251,8
2,120,51.49,8.2786,9
2,40,-20.6213,5.5565,10
2,50,-30.0312,4.1337,11
2,50,-21.1117,1.8721,12
2,40,15.0802,0.61902,13
2,30,-15.6636,1.8324,14
2,80,-36.7029,14.01,15
2,20,-9.2197,4.6973,16
2,60,-14.5629,3.4715,17
2,20,-15.7109,7.5444,18
2,60,-33.1593,6.7388,19
2,80,-53.0736,10.8514,20
2,120,55.472,5.104,21
2,50,-34.1039,8.5719,22
2,70,-37.3344,8.9731,23
2,40,11.0686,2.0711,24
2,120,-58.0706,7.765,25
2,40,-16.7489,2.0674,26
2,80,37.2236,4.3467,27
2,90,-49.0478,2.5313,28
2,70,-32.1793,5.5819,29
2,50,25.1347,3.5824,30
2,70,24.2349,5.7963,31
2,70,-29.0812,2.693,32
2,50,23.2634,2.5904,33
2,70,41.1323,7.2196,34
2,40,18.9648,6.7423,35
2,80,-14.2234,16.7504,36
2,80,-43.3506,7.661,37
2,120,51.4671,10.8711,38
2,20,4.6272,0.886,39
2,90,-59.459,6.4565,40
2,80,36.7227,6.8637,41
2,120,-64.8373,14.0734,42
2,90,33.2118,2.1305,43
2,0,-1.0452,3.1638,44
2,0,1.245,1.2649,45
2,30,-13.331,3.1186,46
2,90,-50.2925,13.1587,47
2,80,25.7279,5.9956,48
2,80,37.933,7.054,49
2,120,-67.7677,4.0084,50
2,50,-27.5668,1.8658,51
2,60,-37.9333,8.4067,52
2,80,-49.1329,1.0448,53
2,0,0.31777,1.6969,54
2,20,15.5009,0.16091,55
2,70,41.983,5.5696,56
2,20,-6.6711,3.5713,57
2,60,-34.2377,5.5403,58
2,80,-35.5671,3.1423,59
2,0,0.069395,0.50607,60
2,120,10.8271,32.0097,61
2,70,-39.5587,6.3409,62
2,20,5.212,1.9543,63
2,60,-31.3799,6.2224,64
2,60,30.0694,6.2231,65
2,0,-1.385,2.6341,66
2,30,-7.4044,0.54713,67
2,40,16.9307,4.501,68
2,30,-15.5054,1.59,69
2,50,21.6457,4.0732,70
2,30,-8.7949,4.7488,71
2,20,-2.6595,2.971,72
2,90,-29.9419,6.1228,73
2,60,30.9358,4.343,74
2,30,-16.1207,4.1311,75
2,50,-27.1688,4.8645,76
2,60,33.2206,2.8138,77
2,90,-36.0561,6.6791,78
2,30,-11.4334,2.0267,79
2,90,31.2577,2.2499,80
2,70,-36.4566,2.2592,81
2,70,42.5401,11.641,82
2,120,-52.3009,6.9007,83
2,20,-5.003,2.3135,84
2,120,59.3565,8.144,85
2,0,-1.8477,1.643,86
2,40,-18.2051,3.4292,87
2,50,-29.9188,5.5071,88
2,60,-32.7244,4.0871,89
2,40,-19.6403,1.2849,90
2,90,-42.7615,4.7374,91
2,30,-15.3627,1.9576,92
2,40,21.043,3.8694,93
2,120,-38.0525,7.8617,94
2,30,-10.6226,2.5026,95
2,30,-16.4085,5.3854,96
2,90,37.3936,1.9744,97
2,0,1.9487,1.3172,98
2,40,24.9637,3.1634,99
2,0,-0.53519,2.6306,100
3,70,3.591,2.5227,1
3,60,22.2635,4.7392,2
3,0,-0.23359,1.0642,3
3,30,3.22,2.5021,4
3,70,-6.4987,2.7039,5
3,60,15.7008,3.6608,6
3,50,4.6432,1.729,7
3,50,4.7295,1.8289,8
3,70,-4.4418,6.512,9
3,50,-8.5839,3.4575,10
3,40,5.8939,1.1295,11
3,70,26.0134,1.4547,12
3,30,-10.0838,3.3314,13
3,20,-5.5827,1.6275,14
3,120,-46.7259,4.5605,15
3,90,15.1239,0.91594,16
3,120,52.991,9.1816,17
3,0,-0.30131,1.2182,18
3,20,-7.5593,0.29208,19
3,20,-1.8484,1.1936,20
3,70,-22.4006,4.2127,21
3,40,-15.3289,3.2224,22
3,30,-8.5393,3.071,23
3,40,4.3055,2.5832,24
3,0,-2.5393,0.42878,25
3,20,-6.7924,0.88537,26
3,50,-5.4298,0.83886,27
3,90,-33.7454,7.1597,28
3,40,15.2692,2.5684,29
3,80,26.9392,7.766,30
3,70,-15.6428,4.6837,31
3,30,-2.3676,1.6652,32
3,70,17.3794,0.745,33
3,0,2.166,0.26312,34
3,20,1.5053,0.52107,35
3,30,10.7509,1.2486,36
3,90,14.8785,2.1981,37
3,60,9.7719,1.4302,38
3,120,-46.6574,11.0909,39
3,0,-1.7911,0.44863,40
3,20,-3.0895,0.8442,41
3,90,-33.1346,5.0269,42
3,120,-55.3854,2.9536,43
3,60,-18.4735,2.8889,44
3,30,-1.153,1.4115,45
3,0,0.65933,0.84243,46
3,40,10.0209,3.4029,47
3,40,-7.9073,0.75,48
3,120,53.0651,13.3125,49
3,0,0.91501,1.0116,50
3,120,-51.6523,8.8151,51
3,0,0.34511,1.1403,52
3,90,35.7143,2.6243,53
3,50,11.9533,0.26457,54
3,60,11.9119,1.95,55
3,0,2.2147,1.2148,56
3,40,4.4117,2.5691,57
3,30,5.1555,1.1377,58
3,20,5.3703,1.5028,59
3,120,-52.6841,5.1732,60
3,90,33.4582,2.8234,61
3,30,-1.1874,1.7898,62
3,20,-6.9714,2.0715,63
3,60,7.9815,0.63604,64
3,80,-23.5198,4.6209,65
3,90,14.705,0.7491,66
3,30,-2.4685,2.2018,67
3,90,-26.9265,3.1154,68
3,50,-6.3518,1.3495,69
3,80,-23.606,1.8122,70
3,80,22.5444,3.7431,71
3,60,-5.087,3.8099,72
3,40,-6.4286,1.2391,73
3,60,13.666,2.4303,74
3,30,3.7849,1.4215,75
3,20,4.5558,1.1768,76
3,50,11.945,4.9947,77
3,60,11.2699,1.3326,78
3,120,-44.4069,4.0951,79
3,70,20.3341,1.59,80
3,70,28.9972,5.5487,81
3,90,25.4256,6.7439,82
3,40,-4.8452,0.54105,83
3,120,46.7568,5.6035,84
3,80,-22.2042,1.2703,85
3,120,-45.5815,13.8176,86
3,80,24.1975,2.5504,87
3,50,15.4611,6.1129,88
3,80,-27.0387,5.13,89
3,80,18.0078,1.3635,90
3,70,12.7894,5.0956,91
3,50,-7.243,2.0203,92
3,80,-17.5104,2.1237,93
3,80,-24.3591,8.5161,94
3,90,21.1873,2.3548,95
3,0,1.3561,0.39424,96
3,40,8.7579,2.2643,97
3,50,-7.5818,1.1565,98
3,60,7.6539,1.8583,99
3,20,4.7641,1.3109,100
4,120,46.6212,8.9055,1
4,120,52.1189,9.7588,2
4,120,-51.5997,11.9939,3
4,50,6.3203,4.2102,4
4,40,-1.2534,0.28781,5
4,90,21.6709,2.8682,6
4,60,19.0148,4.2124,7
4,30,5.5693,1.9821,8
4,50,1.64,1.9685,9
4,30,7.2475,0.80791,10
4,30,-1.3653,1.1251,11
4,0,0.77287,0.64034,12
4,30,-1.104,2.3967,13
4,80,28.9626,8.27,14
4,20,-0.3228,0.81578,15
4,60,6.3789,3.5387,16
4,90,21.2386,3.975,17
4,50,8.7122,4.4451,18
4,40,3.3022,0.74863,19
4,80,36.0947,6.7523,20
4,40,-5.3363,2.6218,21
4,0,-1.4778,1.8088,22
4,50,-10.9272,2.7772,23
4,20,-4.9596,0.7002,24
4,90,-42.12,7.3011,25
4,70,0.096443,1.7077,26
4,120,59.5665,6.5506,27
4,50,-5.2469,3.9216,28
4,80,-25.6166,6.4621,29
4,60,-18.9309,3.8839,30
4,60,-14.1013,4.3162,31
4,60,-16.3078,2.9061,32
4,120,-56.0268,5.4674,33
4,40,2.3388,3.5469,34
4,60,14.7175,2.7038,35
4,120,59.2566,7.5087,36
4,0,1.7224,2.3059,37
4,40,-0.57158,0.95892,38
4,30,-8.2844,1.5241,39
4,20,2.0858,1.7812,40
4,0,-0.95359,2.6107,41
4,50,-6.1782,3.4214,42
4,50,-2.948,1.8672,43
4,50,0.68079,1.2685,44
4,120,-61.0865,6.1509,45
4,40,1.398,2.2569,46
4,30,8.2021,3.0037,47
4,80,37.5082,8.2031,48
4,0,-1.0464,1.484,49
4,0,-0.41243,0.9774,50
4,80,-26.3322,6.6748,51
4,70,-26.582,2.6248,52
4,70,-23.346,3.8294,53
4,20,-0.21041,1.1473,54
4,20,2.9217,1.5377,55
4,80,-36.318,6.3801,56
4,80,35.5372,5.9421,57
4,20,-1.4334,0.94903,58
4,20,-4.593,1.075,59
4,30,-3.1048,1.9325,60
4,30,-5.7371,3.1468,61
4,70,-16.8033,4.4441,62
4,90,-45.771,8.429,63
4,70,27.1066,3.0906,64
4,70,37.1268,9.1933,65
4,120,-54.0482,2.5225,66
4,60,32.6613,1.9509,67
4,20,-3.2839,2.1981,68
4,90,-30.1984,11.6258,69
4,0,-4.4918,3.93,70
4,40,-13.3605,2.5641,71
4,80,-37.1567,5.2177,72
4,40,17.3926,1.4095,73
4,60,-0.97607,2.0181,74
4,70,15.1694,1.8563,75
4,30,1.7031,1.2016,76
4,0,0.038594,0.86903,77
4,90,36.0405,6.1092,78
4,40,-12.9807,2.8588,79
4,80,-29.3458,5.7468,80
4,0,-2.4804,0.77755,81
4,90,-32.0247,5.2498,82
4,20,-0.28754,2.5438,83
4,70,23.0409,1.2042,84
4,60,3.8504,2.0953,85
4,80,24.6851,3.9986,86
4,120,-44.6801,10.6868,87
4,70,-18.6529,5.4425,88
4,60,15.4949,2.1506,89
4,20,-1.6183,2.6714,90
4,120,-59.9364,4.6764,91
4,90,36.5751,3.0614,92
4,30,-2.1187,1.3002,93
4,50,-20.1215,6.2881,94
4,70,-22.3349,3.1706,95
4,50,-1.7853,2.5179,96
4,40,-5.1776,1.6872,97
4,90,-35.3673,4.105,98
4,0,1.5506,1.8411,99
4,90,26.6871,3.5844,100
5,30,-2.4796,2.0536,1
5,80,8.3931,1.5176,2
5,30,-2.2544,3.4048,3
5,50,3.9442,2.7955,4
5,90,-20.3704,5.0552,5
5,20,3.4709,2.2732,6
5,30,-7.9203,4.7572,7
5,40,5.5276,2.7382,8
5,50,-13.7378,0.56689,9
5,40,6.8144,2.5422,10
5,80,-4.7744,1.743,11
5,50,5.5182,1.9803,12
5,80,-10.7815,4.0889,13
5,60,-10.9884,2.7929,14
5,60,-11.2386,2.4587,15
5,20,-4.0666,2.7702,16
5,120,15.0998,5.2185,17
5,80,-16.4883,3.4952,18
5,40,-8.1821,2.756,19
5,20,3.616,0.82447,20
5,70,-14.1515,3.0873,21
5,50,-8.2884,4.1285,22
5,80,-26.7898,3.7227,23
5,20,-2.6023,2.8599,24
5,40,4.2874,2.0107,25
5,50,13.4676,4.2235,26
5,90,25.7176,13.0933,27
5,20,-0.7473,2.2614,28
5,70,17.9115,0.90938,29
5,90,24.6169,7.9321,30
5,70,2.0948,1.9387,31
5,50,-16.2108,4.8218,32
5,80,-21.8309,9.1679,33
5,90,-33.4791,7.427,34
5,40,8.7571,4.3378,35
5,30,9.5013,4.6127,36
5,50,8.214,1.5222,37
5,30,4.6557,5.6869,38
5,120,23.4921,4.3486,39
5,70,-12.0619,5.1411,40
5,50,-18.0874,3.3175,41
5,0,-4.2964,2.8655,42
5,60,-11.9699,2.1238,43
5,50,-10.9681,3.9733,44
5,20,-4.1441,0.70229,45
5,80,-10.8701,4.1786,46
5,0,0.5514,1.9284,47
5,80,-22.8297,5.5556,48
5,90,-21.2116,5.8454,49
5,60,-12.053,5.3909,50
5,0,0.30093,1.0847,51
5,30,-3.431,1.5601,52
5,60,-20.0497,2.2765,53
5,120,-43.004,16.5084,54
5,60,4.6442,4.545,55
5,20,8.9601,1.6137,56
5,40,-1.8168,2.3996,57
5,60,14.7734,2.9156,58
5,60,1.8588,2.09,59
5,70,23.6902,2.8794,60
5,120,46.3041,9.6248,61
5,30,-13.5857,3.0898,62
5,0,7.051,4.4368,63
5,0,-4.282,2.896,64
5,20,4.9347,2.8231,65
5,50,-17.3822,2.2854,66
5,90,-36.6522,10.3341,67
5,120,35.8058,1.8647,68
5,70,-20.0308,3.1321,69
5,40,-5.2293,6.6904,70
5,60,-16.0756,0.8514,71
5,70,-18.561,4.7944,72
5,30,-6.2707,1.5242,73
5,80,24.5938,4.2796,74
5,120,-48.5112,6.9626,75
5,40,12.6791,1.3218,76
5,0,-0.81477,2.7482,77
5,120,39.536,7.4174,78
5,90,-32.0967,2.2058,79
5,40,4.973,6.6534,80
5,20,3.3276,2.0664,81
5,80,30.07,4.7087,82
5,0,0.81124,1.8461,83
5,90,-27.7722,3.2026,84
5,30,11.8302,2.7429,85
5,90,23.176,5.5,86
5,40,-8.5726,1.4,87
5,70,-24.2668,1.8602,88
5,120,-50.7173,3.3559,89
5,0,0.84904,3.1289,90
5,60,18.5408,4.2897,91
5,120,44.1437,3.567,92
5,20,-4.6385,1.9787,93
5,0,-3.7639,2.8023,94
5,90,16.0981,15.7552,95
5,120,25.3165,11.3643,96
5,70,-25.3494,4.7295,97
5,70,4.6405,1.3248,98
5,30,8.8347,4.2127,99
5,0,2.643,2.4191,100
6,120,24.6255,1.8839,1
6,40,19.8225,0.92025,2
6,30,-12.903,2.4646,3
6,20,-2.7376,3.1757,4
6,20,5.2095,1.2112,5
6,30,-9.2575,2.6584,6
6,0,-0.47158,1.261,7
6,80,-36.3473,4.3063,8
6,80,-33.6662,2.9128,9
6,50,11.3685,5.7099,10
6,0,1.3708,1.9905,11
6,90,-36.9125,4.0728,12
6,40,-15.7406,0.68131,13
6,80,39.1409,7.1765,14
6,20,5.5408,1.5143,15
6,40,4.124,1.8792,16
6,30,5.6859,2.3589,17
6,90,-41.0602,6.9182,18
6,90,-38.8008,4.2064,19
6,50,11.9838,2.179,20
6,30,10.9612,0.6566,21
6,60,24.2548,3.2392,22
6,60,22.0829,7.2092,23
6,60,22.5857,1.3582,24
6,120,-54.4563,1.9204,25
6,20,-11.2831,0.59921,26
6,50,-19.78,2.5262,27
6,120,56.5656,6.3519,28
6,20,2.6397,2.7179,29
6,50,13.5143,4.0748,30
6,50,-21.8594,2.4514,31
6,70,22.8724,1.5499,32
6,70,22.4056,5.7852,33
6,30,9.2259,1.5528,34
6,80,-34.1343,4.6743,35
6,90,28.3628,4.4434,36
6,20,-5.5632,1.5332,37
6,70,30.3232,8.957,38
6,40,-18.6144,1.4932,39
6,0,-1.9519,0.73503,40
6,90,-37.2195,4.5664,41
6,20,-1.67,2.1748,42
6,60,-19.2838,4.9855,43
6,40,11.859,1.0482,44
6,70,21.7545,3.3327,45
6,30,12.8911,1.1474,46
6,60,-17.3192,7.2208,47
6,80,-39.4715,13.2066,48
6,0,1.7139,1.4449,49
6,0,-1.9118,0.23315,50
6,40,10.3333,1.5696,51
6,120,-56.3816,7.6267,52
6,70,32.6005,4.9903,53
6,80,-34.332,1.8912,54
6,120,-57.6867,1.6609,55
6,40,-16.6153,2.0508,56
6,0,0.3977,3.0777,57
6,80,-31.8622,2.0548,58
6,60,-28.4401,7.7586,59
6,120,-51.2662,4.1522,60
6,50,-9.0566,5.9765,61
6,120,55.6622,5.3706,62
6,0,3.3444,1.7727,63
6,40,7.2932,1.894,64
6,30,10.4393,2.3244,65
6,40,9.8736,4.6916,66
6,90,-38.778,1.8439,67
6,50,-16.3986,1.8795,68
6,90,40.0721,2.1922,69
6,20,-3.2753,2.9176,70
6,80,-38.0169,3.3081,71
6,0,-3.2758,0.93212,72
6,120,64.8452,8.4432,73
6,90,-43.2648,4.4637,74
6,30,-8.4885,3.8639,75
6,60,26.2369,2.0943,76
6,30,-7.1955,1.2774,77
6,120,58.6989,6.083,78
6,70,22.9595,2.8046,79
6,0,-1.4552,0.79632,80
6,50,-24.7412,7.153,81
6,70,-34.7138,4.2236,82
6,40,-14.3902,1.1742,83
6,20,6.8561,2.5159,84
6,60,-25.6268,0.72228,85
6,70,-31.1243,8.9209,86
6,90,-43.4167,8.5997,87
6,120,53.986,9.9754,88
6,50,2.2054,2.5567,89
6,80,-36.7128,4.2802,90
6,70,25.2174,9.4775,91
6,60,24.0262,4.8289,92
6,60,32.6531,8.9534,93
6,30,-7.708,1.2563,94
6,20,9.9946,4.0464,95
6,80,40.4844,2.3206,96
6,90,-48.6264,8.0255,97
6,70,27.5956,4.9462,98
6,50,-17.6668,1.1266,99
6,0,2.5715,1.2385,100
13,60,-9.7362,2.0034,1
13,40,19.1269,3.0884,2
13,40,14.8972,7.74,3
13,50,-19.5577,1.1541,4
13,30,2.567,1.317,5
13,80,-19.6795,7.2603,6
13,20,7.4229,1.7074,7
13,90,29.186,3.4889,8
13,60,21.0101,3.4135,9
13,40,20.3335,2.515,10
13,40,13.8355,2.1042,11
13,50,-26.8348,3.7283,12
